                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4845,                 2.2328,                  1.633,                0.53477,                   0.45,                0.45975,                0.27558,                 1.5462,                 1.8021,                 1.7073,               0.070066,               0.003326,               0.003326
                      1,                 1.4065,                 1.6024,                 1.5298,                0.63223,                0.59191,                0.62228,                0.38591,                 1.4296,                 1.3596,                 1.5667,               0.039934,              0.0065275,              0.0065275
                      2,                 1.4786,                 1.6639,                  1.584,                0.45014,                 0.3296,                 0.3192,                0.17604,                 1.8399,                 2.6717,                 2.1457,              0.0096699,               0.009597,               0.009597
                      3,                 1.5427,                 1.7776,                 1.6438,                0.66234,                0.51122,                0.57229,                0.31106,                 1.5773,                 1.5958,                 1.7194,               0.009406,               0.009406,               0.009406
                      4,                 1.5092,                 1.6786,                 1.6202,                0.55833,                 0.3482,                0.39398,                0.21363,                 1.8534,                 2.5201,                 2.1052,               0.009406,               0.009406,               0.009406
                      5,                 1.4721,                  1.567,                 1.5873,                0.66585,                0.64022,                0.68961,                 0.4125,                 1.4448,                 1.2741,                 1.6099,               0.009208,               0.009208,               0.009208
                      6,                  1.415,                  1.444,                 1.5462,                0.73669,                0.68558,                0.75583,                0.47565,                 1.3622,                 1.0918,                 1.5304,                0.00901,                0.00901,                0.00901
                      7,                 1.3918,                 1.3993,                 1.5351,                0.74259,                0.72035,                 0.7589,                0.47754,                 1.3732,                 1.0962,                 1.5631,               0.008812,               0.008812,               0.008812
                      8,                 1.3753,                 1.3343,                 1.5115,                0.83218,                0.75246,                0.84379,                0.55966,                 1.2794,                0.94018,                 1.4397,               0.008614,               0.008614,               0.008614
                      9,                 1.3365,                 1.2672,                 1.4865,                0.82813,                0.79169,                0.86207,                0.58618,                 1.2556,                0.89827,                 1.4427,               0.008416,               0.008416,               0.008416
                     10,                 1.3253,                 1.2058,                 1.4734,                0.84823,                0.77341,                0.86374,                0.58354,                 1.2725,                0.87475,                 1.4271,               0.008218,               0.008218,               0.008218
                     11,                 1.2888,                 1.1544,                  1.439,                0.82923,                0.80888,                0.86699,                0.58937,                  1.237,                0.87647,                  1.424,                0.00802,                0.00802,                0.00802
                     12,                 1.2627,                 1.1182,                 1.4344,                0.85209,                0.82392,                0.89388,                0.61534,                 1.2048,                0.78968,                 1.4001,               0.007822,               0.007822,               0.007822
                     13,                 1.2466,                 1.0873,                  1.415,                0.88534,                0.82733,                 0.9013,                0.63783,                 1.1734,                0.76383,                 1.3722,               0.007624,               0.007624,               0.007624
                     14,                 1.2282,                 1.0722,                 1.4043,                0.88219,                0.82911,                0.89757,                0.63849,                 1.1861,                0.76785,                 1.3839,               0.007426,               0.007426,               0.007426
