Quantity, Color, Address
300, #F0ED1E, [21.5497163100176, 105.8468990777589]
150, #1EF013, [21.5490567661048, 105.84824508736833]
1160, #FF1105, [21.54507599087652, 105.84614092731694]
1450, #FF1105, [21.549329412056036, 105.84882746370543]
10, #1EF013, [21.5489741292071, 105.84237351734582]
11, #1EF013, [21.552873458300713, 105.84381510993563]
51, #1EF013, [21.54707915109717, 105.84357593022196]
77, #1EF013, [21.551488291887818, 105.84683819461054]
1000, #FF1105, [21.547388885918576, 105.84873343464173]
32, #1EF013, [21.552446563496456, 105.84818131533352]
11, #1EF013, [21.54882529172488, 105.84352363095356]
